kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LIB.5.sm_62.ptx 1677 : 81920 9416608 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1598 : 4096 73728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1765 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1676 : 81920 414976 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1597 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1764 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1675 : 81920 737280 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1596 : 4096 10240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1763 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1595 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1762 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1672 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1593 : 4096 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1760 : 36864 1622016 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1592 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1759 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1670 : 4096 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1591 : 4096 40960 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1758 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1669 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1590 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1757 : 36864 1825056 4992 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1668 : 4096 73728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1589 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1756 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1667 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1588 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1755 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1583 : 4096 10240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1750 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1582 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1749 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1584 : 4096 32768 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1751 : 36864 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1585 : 4096 32768 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1752 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1586 : 4096 32768 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1753 : 36864 111616 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1587 : 4096 32768 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1754 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1678 : 81920 3137248 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1599 : 4096 10240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1766 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1679 : 81920 11092576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1600 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1767 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1680 : 81920 11861120 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1601 : 4096 73728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1768 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1681 : 81920 12116096 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1602 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1769 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1682 : 81920 1993888 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1603 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1770 : 36864 3870720 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1683 : 81920 11660480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1604 : 4096 10240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1771 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1684 : 81920 12439712 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1605 : 4096 10240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1772 : 36864 221280 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1685 : 81920 13009696 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1606 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1773 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1686 : 81920 12838496 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1607 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1687 : 81920 3677536 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1608 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1688 : 81920 821248 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1609 : 4096 53248 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1776 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1689 : 81920 503712 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1610 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1777 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1690 : 81920 394848 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1611 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1778 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1612 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1779 : 53248 266240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1613 : 4096 8192 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1780 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1693 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1614 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1781 : 53248 160192 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1694 : 4096 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1615 : 4096 8192 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1782 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1616 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1783 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1696 : 4096 430080 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1617 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1784 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1697 : 4096 20512 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1618 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1785 : 53248 2315616 3968 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1707 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1708 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1709 : 69632 20874528 74112 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1710 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1711 : 69632 417792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1712 : 69632 417792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1713 : 69632 417792 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1714 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1715 : 69632 348160 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1716 : 69632 81920 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1718 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1719 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1720 : 53248 266240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1721 : 53248 81920 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1723 : 36864 221184 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1724 : 36864 331776 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1725 : 36864 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1726 : 36864 81920 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1728 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1729 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1730 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1731 : 20480 1240672 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1732 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1733 : 20480 122880 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1734 : 20480 901120 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1735 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1736 : 20480 184320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1737 : 20480 122880 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1738 : 20480 266240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1739 : 20480 122880 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1740 : 20480 122880 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1741 : 20480 184320 0 0 0 0 0 0 0 
